"Year","Labour productivity and related measures","Industry","VALUE"
2015,"Nominal value added","Construction [BS23]",2036045
2015,"Nominal value added","Manufacturing [BS3A]",2722535
2015,"Nominal value added","Service-producing businesses",15263241
2015,"Nominal value added","Energy sector",939722
2015,"Nominal value added","Information and communication sector",1514791
2015,"Real value added","All industries",35013369
2015,"Real value added","Business sector industries",21134687
2015,"Real value added","Goods-producing businesses",6638849
2015,"Real value added","Agriculture, forestry, fishing and hunting [BS11]",917340
2015,"Real value added","Mining and oil and gas extraction [BS21]",478915
2015,"Real value added","Utilities [BS22]",708528
2015,"Real value added","Construction [BS23]",2056123
2015,"Real value added","Manufacturing [BS3A]",2442471
2015,"Real value added","Service-producing businesses",14494539
2015,"Real value added","Energy sector",1080965
2015,"Real value added","Information and communication sector",1472478
2015,"Labour productivity","All industries",45.2
2015,"Labour productivity","Business sector industries",38.9
2015,"Labour productivity","Goods-producing businesses",44.9
2015,"Labour productivity","Agriculture, forestry, fishing and hunting [BS11]",34.7
2015,"Labour productivity","Mining and oil and gas extraction [BS21]",161.4
2015,"Labour productivity","Utilities [BS22]",191.3
2015,"Labour productivity","Construction [BS23]",36
2015,"Labour productivity","Manufacturing [BS3A]",42.3
2015,"Labour productivity","Service-producing businesses",36.7
2015,"Labour productivity","Energy sector",216.1
2015,"Labour productivity","Information and communication sector",76.8
2015,"Total compensation per hour worked","All industries",29.39
2015,"Total compensation per hour worked","Business sector industries",26.17
2015,"Total compensation per hour worked","Goods-producing businesses",29.99
2015,"Total compensation per hour worked","Agriculture, forestry, fishing and hunting [BS11]",21.14
2015,"Total compensation per hour worked","Mining and oil and gas extraction [BS21]",47.26
2015,"Total compensation per hour worked","Utilities [BS22]",58.99
2015,"Total compensation per hour worked","Construction [BS23]",28.11
2015,"Total compensation per hour worked","Manufacturing [BS3A]",33.16
2015,"Total compensation per hour worked","Service-producing businesses",24.74
2015,"Total compensation per hour worked","Energy sector",59.52
2015,"Total compensation per hour worked","Information and communication sector",39.96
2015,"Unit labour cost","All industries",0.65
2015,"Unit labour cost","Business sector industries",0.672
2015,"Unit labour cost","Goods-producing businesses",0.668
2015,"Unit labour cost","Agriculture, forestry, fishing and hunting [BS11]",0.61
2015,"Unit labour cost","Mining and oil and gas extraction [BS21]",0.293
2015,"Unit labour cost","Utilities [BS22]",0.308
2015,"Unit labour cost","Construction [BS23]",0.78
2015,"Unit labour cost","Manufacturing [BS3A]",0.783
2015,"Unit labour cost","Service-producing businesses",0.674
2015,"Unit labour cost","Energy sector",0.275
2015,"Unit labour cost","Information and communication sector",0.52
2015,"Unit labour cost in US dollars","All industries",0.509
2015,"Unit labour cost in US dollars","Business sector industries",0.526
2015,"Unit labour cost in US dollars","Goods-producing businesses",0.523
2015,"Unit labour cost in US dollars","Agriculture, forestry, fishing and hunting [BS11]",0.478
2015,"Unit labour cost in US dollars","Mining and oil and gas extraction [BS21]",0.229
2015,"Unit labour cost in US dollars","Utilities [BS22]",0.242
2015,"Unit labour cost in US dollars","Construction [BS23]",0.611
2015,"Unit labour cost in US dollars","Manufacturing [BS3A]",0.613
2015,"Unit labour cost in US dollars","Service-producing businesses",0.528
2015,"Unit labour cost in US dollars","Energy sector",0.216
2015,"Unit labour cost in US dollars","Information and communication sector",0.407
2015,"Labour share","All industries",61.5
2015,"Labour share","Business sector industries",64.1
2015,"Labour share","Goods-producing businesses",64.3
2015,"Labour share","Agriculture, forestry, fishing and hunting [BS11]",49.7
2015,"Labour share","Mining and oil and gas extraction [BS21]",53.8
2015,"Labour share","Utilities [BS22]",29
2015,"Labour share","Construction [BS23]",78.8
2015,"Labour share","Manufacturing [BS3A]",70.3
2015,"Labour share","Service-producing businesses",64
2015,"Labour share","Energy sector",31.7
2015,"Labour share","Information and communication sector",50.6
2015,"Total number of jobs","All industries",351830
2015,"Total number of jobs","Business sector industries",258175
2015,"Total number of jobs","Goods-producing businesses",70455
2015,"Total number of jobs","Agriculture, forestry, fishing and hunting [BS11]",10970
2015,"Total number of jobs","Mining and oil and gas extraction [BS21]",2035
2015,"Total number of jobs","Utilities [BS22]",2615
2015,"Total number of jobs","Construction [BS23]",23695
2015,"Total number of jobs","Manufacturing [BS3A]",31140
2015,"Total number of jobs","Service-producing businesses",187720
2015,"Total number of jobs","Energy sector",3890
2015,"Total number of jobs","Information and communication sector",7260
2015,"Hours worked for all jobs","All industries",620725.8
2015,"Hours worked for all jobs","Business sector industries",464603.1
2015,"Hours worked for all jobs","Goods-producing businesses",148848.7
2015,"Hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",24993.6
2015,"Hours worked for all jobs","Mining and oil and gas extraction [BS21]",4691.9
2015,"Hours worked for all jobs","Utilities [BS22]",5267.2
2015,"Hours worked for all jobs","Construction [BS23]",50198.3
2015,"Hours worked for all jobs","Manufacturing [BS3A]",63697.7
2015,"Hours worked for all jobs","Service-producing businesses",315754.4
2015,"Hours worked for all jobs","Energy sector",7989.3
2015,"Hours worked for all jobs","Information and communication sector",13167.9
2015,"Annual average number of hours worked for all jobs","All industries",1764
2015,"Annual average number of hours worked for all jobs","Business sector industries",1800
2015,"Annual average number of hours worked for all jobs","Goods-producing businesses",2113
2015,"Annual average number of hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",2278
2015,"Annual average number of hours worked for all jobs","Mining and oil and gas extraction [BS21]",2306
2015,"Annual average number of hours worked for all jobs","Utilities [BS22]",2014
2015,"Annual average number of hours worked for all jobs","Construction [BS23]",2119
2015,"Annual average number of hours worked for all jobs","Manufacturing [BS3A]",2046
2015,"Annual average number of hours worked for all jobs","Service-producing businesses",1682
2015,"Annual average number of hours worked for all jobs","Energy sector",2054
2015,"Annual average number of hours worked for all jobs","Information and communication sector",1814
2015,"Total compensation for all jobs","All industries",17690056
2015,"Total compensation for all jobs","Business sector industries",11388000
2015,"Total compensation for all jobs","Goods-producing businesses",3953931
2015,"Total compensation for all jobs","Agriculture, forestry, fishing and hunting [BS11]",460601
2015,"Total compensation for all jobs","Mining and oil and gas extraction [BS21]",189002
2015,"Total compensation for all jobs","Utilities [BS22]",305744
2015,"Total compensation for all jobs","Construction [BS23]",1315768
2015,"Total compensation for all jobs","Manufacturing [BS3A]",1682816
2015,"Total compensation for all jobs","Service-producing businesses",7434069
2015,"Total compensation for all jobs","Energy sector",423823
2015,"Total compensation for all jobs","Information and communication sector",527449
2015,"Nominal value added","All industries",30602565
2015,"Nominal value added","Business sector industries",19958590
2015,"Nominal value added","Goods-producing businesses",7438849
2015,"Nominal value added","Agriculture, forestry, fishing and hunting [BS11]",951557
2015,"Nominal value added","Mining and oil and gas extraction [BS21]",387316
2015,"Nominal value added","Utilities [BS22]",916366
2015,"Nominal value added","Construction [BS23]",1906113
2015,"Nominal value added","Manufacturing [BS3A]",3277497
2015,"Nominal value added","Service-producing businesses",12519741
2015,"Nominal value added","Energy sector",1922592
2015,"Nominal value added","Information and communication sector",990592
2015,"Real value added","All industries",29275663
2015,"Real value added","Business sector industries",19241946
2015,"Real value added","Goods-producing businesses",7303746
2015,"Real value added","Agriculture, forestry, fishing and hunting [BS11]",904911
2015,"Real value added","Mining and oil and gas extraction [BS21]",457811
2015,"Real value added","Utilities [BS22]",1093988
2015,"Real value added","Construction [BS23]",1838861
2015,"Real value added","Manufacturing [BS3A]",2968100
2015,"Real value added","Service-producing businesses",11937001
2015,"Real value added","Energy sector",1853651
2015,"Real value added","Information and communication sector",973994
2015,"Labour productivity","All industries",47.2
2015,"Labour productivity","Business sector industries",41.4
2015,"Labour productivity","Goods-producing businesses",49.1
2015,"Labour productivity","Agriculture, forestry, fishing and hunting [BS11]",36.2
2015,"Labour productivity","Mining and oil and gas extraction [BS21]",97.6
2015,"Labour productivity","Utilities [BS22]",207.7
2015,"Labour productivity","Construction [BS23]",36.6
2015,"Labour productivity","Manufacturing [BS3A]",46.6
2015,"Labour productivity","Service-producing businesses",37.8
2015,"Labour productivity","Energy sector",232
2015,"Labour productivity","Information and communication sector",74
2015,"Total compensation per hour worked","All industries",28.5
2015,"Total compensation per hour worked","Business sector industries",24.51
2015,"Total compensation per hour worked","Goods-producing businesses",26.56
2015,"Total compensation per hour worked","Agriculture, forestry, fishing and hunting [BS11]",18.43
2015,"Total compensation per hour worked","Mining and oil and gas extraction [BS21]",40.28
2015,"Total compensation per hour worked","Utilities [BS22]",58.05
2015,"Total compensation per hour worked","Construction [BS23]",26.21
2015,"Total compensation per hour worked","Manufacturing [BS3A]",26.42
